"StationId","Name","Domain","Stipend","Location","Branches","Project Description","Reqd Skill Sets","Reqd Electives",
"5190","Nutanix Technologies India Pvt Ltd.(Pune)","Computer Science","90000","Pune","A7,","PROJECT-1: Non-CS to have these: DISTRIBUTED DATA SYSTEMS RECONFIGURABLE COMPUTING ADV COMPUTER ARCHITECTURE ADVANCED DATA MINING NETWORK SECURITY DATA MINING COMPUTATIONAL GEOMETRY OPERATING SYSTEMS DESIGN & ANAL OF ALGO COMPILER CONSTRUCTION COMPUTER ARCHITECTURE COMPUTER NETWORKS MICROPROC & INTERFACING OBJECT ORIENTED PROG DATA BASE SYSTEMS DATA STRUCTURES & ALGO COMPUTER PROGRAMMING DATABASE MANAGEMENT SYSTEM
","PROJECT-1: -
","PROJECT-1: -
",
"4118","Adani Power(Ahmedabad)","Mechanical","","Ahmedabad","A4, AB, H106, H141,","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"5317","Addverb Technologies Pvt.Ltd(Noida)","","40000","Noida","Any","PROJECT-1: Automated Mobile Robot/ Vision based development Project domain Robotics Any other requirements Candidates with relevant skills/experience are eligible to apply Navigation, Perception, SLAM, ROS, vision technology - Teamwork, Passion, Energy, Problem Solving - Computer Vision, Data Structure, Distributed Systems - Strong research and innova??on skills and ability to solve difficult vision and learning problems - Knowledge of ROS along-with C & Python - Working knowledge of mul??ple opera??ng systems
PROJECT-2: Development of software for warehouse automation Project domain Robotics Java, IOT, messaging, RDBMS - Passion, Tenacity - C#/.Net - Java - Python - Problem Solving and logical thinking Skills - So??ware tes??ng and debugging - Teamworking and Mul??tasking Simulate & validate the system under test and its components for integra??on and data valida??on Con??nuous delivery, deployment and integra??on of code To constantly hunt for the new technology to improve exis??ng product offerings Write large amount of meaningful and efficient codes Solve problems that haven’t been solved before Verifying the so??ware system along with its sub-systems Any other requirements Only B.tech/BE- Electronics and Communication (EC) and BE/B.tech- Software candidates are eligible:
PROJECT-3: Development of mechanical design of AMR/ warehouse shuttles. Project domain Mechanical Design Skills: PFA JD Solid works, Solid edge, ANSYS Any other requirements Only B.tech /B.E- Mechanical Design can apply - Passion, Energy & Tenacity - AutoCad, Solidworks, Catia - Creativity - Basic Mechanical Engineering Use tools and software to create models and drawings of products Understand the technical requirements, draw up specifications of product and study existing products to ensure correct design Play on your system to perform simulations to ensure a fail-safe design and design for manufacturability Rapid prototyping, testing and deployment of the product to measure the quality of design Design products that have never been designed before Constantly thrive to improve the existing design with an eye on ease of use and deployment
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
",
"321","Aditya Auto products & Engg (I) .P.Ltd.(Bangalore)","Mechanical","22000","Bangalore","A4, AB,","PROJECT-1: Conceptualise assembly lines, order and develop robotic automation for Specific Purposes Processes. Project domain Automation & Robotics PLC programming, Robot programming, LabView C/C++ programming. Teamwork Communication Coordination Any other requirements A strong interest in this subject and good aptitude. Expected learning (in bullet points) • Practical industrial experience in end to end development of assembly lines and automation from concept to production. • Execution, problem solving, new skills.
","PROJECT-1: -
","PROJECT-1: -
",
"328","Aditya Birla Science & Technology Company Ltd.(Mumbai)","Chemical","10000","Mumbai","A1,","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"762","Adobe Systems(Bangalore)","IT","100000","Bangalore","A3, A7, AA,","PROJECT-1: Excellent academic performance • Passion for technology and research • Strong academic background • Excellent analytical, problem solving and coding skills • Go getter attitude and Initiative • Able to work independently as well as in teams What you’ll do •Do research on a given feature or workflow or problem statement, discuss it with othergroup members, define it as a “goal” for the internship and get it validated from yourmentor. •Get a good understanding of the platform the problem needs to be solved for (e.g. iOS,Android, Service on AWS/Azure etc) to be able to provide a good implementation. •Generate an implementation based on a robust design. •Showcase the implementation to your mentor and the Group Head. •Get a sign off on “Goal” achieved. •Identify relevant IPs created in the process (patents) What you need to succeed • Must be enrolled as a full time student in a formal technology 4 year BE/B.Tech education program or an Integrated ME/MS/MTech program at an Indian University or Institute and should be completing the program in Academic year 2022/2023. • Preference will be given to students pursuing a Major or Minor in the following streams: Computer Science/Engineering, Information Science, Data Science, Electrical/Electronics Engineering, Math and Computing • Excellent academic performance • Passion for technology and research • Strong academic background • Excellent analytical, problem solving and coding skills • Go getter attitude and Initiative • Able to work independently as well as in teams • Excellent interpersonal & verbal/written communication skills • Anything that you are proud to brag about Get to know the team Adobe’s Digital Media Business Unit Adobe’s Digital Media Business Unit focuses on advancing state of the art content and driving digital transformation of industries. It provides tools and services that enable individuals, small businesses, and enterprises to create, publish, promote, manage and monetize their content anywhere through the Adobe Creative Cloud and Document Cloud. Adobe’s creative and document solutions are used by designers, photographers, filmmakers, content publishers, storytellers, UX designers, knowledge workers, consumers and more. Through our connected apps and services, customers have all the tools and assets they need to create and manage content across desktop and mobile devices. Adobe’s Digital Experience Business Unit Adobe’s Digital Experience Business Unit provides solutions that empower businesses to make, manage, measure and monetize online, offline and multichannel business initiatives. Through the Adobe Experience Cloud which includes our Advertising, Analytics and Marketing Clouds, companies have everything they need to deliver a well-designed, personal and consistent experience to their customers at the right time, regardless of the channel. The Adobe Marketing Cloud offers integrated solutions that help brands connect with customers on a personal level; the Adobe Analytics Cloud is a customer intelligence engine that helps brands move from insights to action; and, the Adobe Advertising Cloud offers the industry’s first end-to-end platform that manages advertising for TV and all digital formats. • Excellent interpersonal & verbal/written communication skills • Anything that you are proud to brag about
PROJECT-2: Adobe Digital Experience Cloud’s mission is to transform how businesses compete. We offer a collection of best-in-class solutions for marketing, analytics, advertising and commerce, integrated on a cloud platform. We manage over 233 trillion transactions per year and handle over 35 petabytes of data every quarter. At the Media and Data Science Research (MDSR) labs, we work on fundamental and applied research problems relevant to the Experience Cloud. Our research focus spans Computer Vision, Natural Language Understanding and Data Science, often in an interdisciplinary manner. We also work on foundational questions related to AI and deep mathematical areas. All intern projects at Adobe India MDSR are expected to make a novel contribution to a research area and result in a publication or patent applications. A patent filing carries a significant monetary reward (Patent bonus for a single patent at Adobe is USD 7000). The lab has over 150 filed patents. We have published research papers with our interns at some of the most prestigious conferences in Machine Learning, Artificial Intelligence, Computer Vision and Natural Language understanding. Some recent publications are listed in the next page. Many of our projects culminate into features for Adobe products. Here are a few contributions over the last 2 years that have made it to the news: • ProjectClothesSwap – Image Based Virtual Try On • ProjectBonVoyage – Live Journey Insights • ShapeVis- Topological Data Analysis for Audience Segmentation AI • Document Image Segmentation in Adobe Experience Manager Forms • Currency Optimization Interested students with passion for science and technology, especially, Computer Vision, Machine Learning, Natural Language Understanding, Data science or Mathematics for research internships with the MDSR, Noida team
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
"1233","Adobe Systems(Noida)","IT","100000","Noida","A7,","PROJECT-1: Causal models are useful in interpretable ML and also allow for suimulation. We will explore casuality in many areas including compute vision, reinforcement learing, NLP and data science. Project domain Machine Learning Prior research experience/publication in Machine learning,Data Science, ComputerVision,NLP. Strong CS and mathematical foundations, aptitude for research Team work, Excellent Written and oral communication, patience and perseverance Expected learning (in bullet points) Doing impactful research in Machine Learning, Learn advanced methods in machine learning, Writing production ready code, Business motivations in technology area
","PROJECT-1: -
","PROJECT-1: -
",
"5208","Adroitech(Bangalore)","IT","","Bangalore","Any","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"4042","AECOM(Mumbai)","Infrastructure","7500","Mumbai","H130, H143, H144,","PROJECT-1: Projects related to structural engineering, Geotechnical engineering, Transportation and Infrastructure Engineering. Projects related to MEP
","PROJECT-1: -
","PROJECT-1: -
",
"4120","AECOM Infrastructure(Delhi)","Infrastructure","7500","Delhi","H130, H143, H144,","PROJECT-1: Projects related to structural engineering, Geotechnical engineering, Transportation and Infrastructure Engineering. Projects related to MEP
","PROJECT-1: -
","PROJECT-1: -
",
